Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/data,1438,0,2,3.3508330347700186,1.5086630000951118,31.420125999829907,76.75660639777469,49.555446091633364,0.0,2,3,4,4,6,9,15,18,30,31,31
,Aggregated,1438,0,2,3.3508330347700186,1.5086630000951118,31.420125999829907,76.75660639777469,49.555446091633364,0.0,2,3,4,4,6,9,15,18,30,31,31
